NomorFaktur,Produk,Status
240227KYHHVUK0,"B. Reg Choco Sport / Milo 25 gram , B. Reg Choco Royal 25 gram , B. Reg Taro 25 gram , B. Reg Cappucino 25 gram , B. Reg Avocado 25 gram , B. Reg Red velvet 25 gram , B. Reg Green tea 25 gram , B. Reg Black Choco / Owreo 25 gram , B. Reg Mango 25 gram , B. Reg Strawberry 25 gram",Belum Lunas
240227MWGXM7AJ,Coklat Murni 1Kg (Pure Chocolate),Belum Lunas
240227N1NU2BBN,Creamer Reguler 1Kg,Belum Lunas
240227N7AXFQ3X,"B. Reg Choco Royal 25 gram , B. Reg Cappucino 25 gram , B. Reg Green tea 25 gram , B. Reg Mango 25 gram , Creamer Reguler 1Kg",Belum Lunas
240227NEYHBE1K,B. Reg Black Choco / Owreo 1Kg,Belum Lunas
240228NXCF1TPP,Creamer Reguler 1Kg,Belum Lunas
240228PU4RJFFQ,B. Reg Taro 1Kg,Belum Lunas
240228PYWQRXVY,Creamer Reguler 1Kg,Belum Lunas
240228Q8739XP8,Creamer Reguler 1Kg,Belum Lunas
240228Q9W93HVQ,"B. Reg Blueberry 1Kg , B. Reg Cappucino 1Kg , Creamer Reguler 1Kg",Belum Lunas
240227NAS83RM0,"Bubuk Green Tea Mix Sugar 1Kg , Bubuk Taro Mix Sugar 1Kg , Plastik L ( 50 ) , LEMON TEA 1kg , LYCHEE TEA 1kg",Belum Lunas
240228P6T2XK2F,"Sedotan Steril Hitam Runcing 19.5cm(620 WF 300Pcs) , Javaland Syrup Butterscotch 100ml , Javaland Syrup Caramel 100ml , Javaland Syrup Salted Caramel 100ml , Javaland Syrup Vanilla 100ml , Susu UHT Diamond 1L",Lunas
240228PY9015CN,"Bubuk Choco Royal Mix Sugar 1Kg , Bubuk Taro Mix Sugar 1Kg , B. Reg Avocado 1Kg , B. Reg Blackforest 1Kg , B. Reg Bubble Gum 1Kg , B. Reg Cappucino 1Kg , B. Reg Choco Caramel 1Kg , B. Reg Choco Hazelnut 1Kg , B. Reg Choco Sport / Milo 1Kg , B. Reg Black Choco / Owreo 1Kg , B. Reg Green Tea 1Kg , B. Reg Mango 1Kg , B. Reg Mochacino 1Kg , B. Reg Red Velvet 1Kg , B. Reg Thai Tea 1Kg , B. Reg Tiramisu 1Kg , B. Reg Vanilla Latte 1Kg , B. Reg Vanilla White 1Kg",Belum Lunas
240228Q5Y18DGW,"B. Reg Green Tea 1Kg , B. Reg Thai Tea 1Kg",Belum Lunas
240228QA76NKHG,"B. Reg Blackforest 1Kg , B. Reg Bubble Gum 1Kg , B. Reg Milk Tea 1Kg",Belum Lunas
INV/20240228/MPL/3763823013,Javaland Syrup Caramel,Lunas
240227MY9AWV90,MACCHIATO POWDER FOAM1kg,Lunas
240227N22SVPWK,"B. Reg Hazelnut 1Kg , B. Reg Mango 1Kg",Belum Lunas
240227NBD7Y4HC,B. Reg Tiramisu 1Kg,Belum Lunas
240227NH0UT9ET,"B. Reg Choco Cheese 1Kg , B. Reg Choco Delfee 1Kg , B. Reg Red Velvet 1Kg , B. Reg Strawberry 1Kg , B. Reg Taro 1Kg , B. Reg Thai Tea 1Kg , B. Reg Vanilla Latte 1Kg , B. Reg Vanilla White 1Kg",Belum Lunas
240228NVRQFQPQ,Bubuk Red Velvet Mix Sugar 1Kg,Belum Lunas
240228PFP87UN3,"B. Reg Black Choco / Owreo 1Kg , B. Reg Choco Royal 1Kg , B. Reg Vanilla White 1Kg",Belum Lunas
240228PXW4DGDX,"B. Reg Red Velvet 1Kg , B. Super Swiss Choco 1Kg , Creamer Premium 1Kg , Javaland Syrup Vanilla , LEMON TEA 1kg , LYCHEE TEA 1kg",Belum Lunas
240227N349U7TM,MACCHIATO POWDER FOAM1kg,Belum Lunas
240227N6JVVMGP,Creamer Reguler 1Kg,Belum Lunas
240227NRPEYH18,Creamer Reguler 1Kg,Belum Lunas
240228PSMS587D,Creamer Reguler 1Kg,Belum Lunas
240228PSQQHETB,Creamer Reguler 1Kg,Belum Lunas
240228PUWH3E1R,Creamer Reguler 1Kg,Belum Lunas
240228PWE3K2GX,B. Reg Strawberry 1Kg,Belum Lunas
240228QJ7STE8D,"B. Reg Avocado 1Kg , B. Reg Cappucino 1Kg",Belum Lunas
240227N3X0SPUK,Creamer Super Premium 1Kg,Belum Lunas
240228PF8PAGGS,Creamer Premium 1Kg,Belum Lunas
240228PHTTMJFH,Kopi Instant 500Gr,Belum Lunas
240228PVK3FKQ1,Creamer Premium 1Kg,Belum Lunas
240228QFBP0E37,Creamer Reguler 1Kg,Belum Lunas
INV/20240227/MPL/3762602512,Creamer Super Premium 1Kg,Belum Lunas
INV/20240228/MPL/3763231823,Black Biscuit Crumb 1Kg,Belum Lunas
INV/20240228/MPL/3763368246,"B. Reg Choco Sport / Milo 1Kg , B. Reg Choco Silverking 1Kg , B. Reg Mochacino 1Kg , B. Reg Strawberry 1Kg",Lunas
INV/20240228/MPL/3763518985,THAI TEA DAUN  #1THAILAND,Belum Lunas
INV/20240228/MPL/3763775908,Creamer Reguler 1Kg,Belum Lunas
240227N6PUQN2C,"B. Reg Choco Royal 1Kg , Creamer Reguler 1Kg",Belum Lunas
240227NCAM9UXA,Creamer Reguler 1Kg,Belum Lunas
240227NPJ0DCUY,Creamer Premium 1Kg,Belum Lunas
240228PDNQHEB6,Creamer Premium 1Kg,Belum Lunas
240228PFBVBMMQ,"B. Reg Cappucino 1Kg , Creamer Reguler 1Kg",Lunas
240228PSMCPSCR,Creamer Premium 1Kg,Belum Lunas
240228PYCYRQ5R,Creamer Super Premium 1Kg,Belum Lunas
240228Q2FKHP3K,B. Prem Chocolate  1Kg,Belum Lunas
240228Q2QG988V,"B. Reg Choco Sport / Milo 1Kg , B. Reg Choco Royal 1Kg , B. Reg Taro 1Kg , GULA AREN BUBUK / PALM SUGAR 1kg",Belum Lunas
240228QAGPTS1C,Creamer Reguler 1Kg,Belum Lunas
240228QATHK8PH,Creamer Premium 1Kg,Belum Lunas
240228QBH79C1C,Creamer Premium 1Kg,Belum Lunas
240228QC1GYA25,Creamer Reguler 1Kg,Belum Lunas
240228QGCMR8F4,Creamer Premium 1Kg,Belum Lunas
INV/20240228/MPL/3763331902,"B. Reg Bubble Gum 1Kg , Ice Cream Powder Taro 1Kg",Belum Lunas
240227MHK9TUJ3,Creamer Reguler 1Kg,Belum Lunas
240227MWUSQVPF,Creamer Super Premium 1Kg,Belum Lunas
240227MXWXMMBE,"B. Reg Bubble Gum 1Kg , Creamer Premium 1Kg",Belum Lunas
240227MYDUWJ4G,Creamer Reguler 1Kg,Belum Lunas
240227MYHRTSMQ,Creamer Premium 1Kg,Belum Lunas
240227N25RAPPM,MACCHIATO POWDER FOAM1kg,Belum Lunas
240227N2D4S1WY,"Bubuk Choco Royal Mix Sugar 1Kg , Sedotan Steril Hitam Runcing 19.5cm(620 WF 300Pcs)",Belum Lunas
240227N3NJYUNH,Creamer Reguler 1Kg,Belum Lunas
240227N43K60JJ,Creamer Super Premium 1Kg,Belum Lunas
240227N4QH4K9P,"Bubuk Taro Mix Sugar 1Kg , Creamer Reguler 1Kg",Belum Lunas
240227N5NMDJM9,Creamer Super Premium 1Kg,Belum Lunas
240227N6B31F8Y,Creamer Super Premium 1Kg,Belum Lunas
240227N73H0JEC,Creamer Premium 1Kg,Belum Lunas
240227N767UKAK,"B. Reg Choco Silverking 1Kg , Creamer Reguler 1Kg , Javaland Syrup Pandan , LEMON TEA 1kg",Belum Lunas
240227N7P8V8N6,Creamer Reguler 1Kg,Belum Lunas
240227N9M5PF0R,Creamer Reguler 1Kg,Belum Lunas
240227NA1QMMVA,Creamer Premium 1Kg,Belum Lunas
240227NGWUFVGU,Creamer Premium 1Kg,Belum Lunas
240227NMGDCJF5,Creamer Super Premium 1Kg,Belum Lunas
240227NMRGTAKG,"Bubuk Choco Royal Mix Sugar 1Kg , Bubuk Red Velvet Mix Sugar 1Kg , Plastik Take Away isi 320 Pcs",Belum Lunas
240227NNT6DAQU,B. Reg Red Velvet 1Kg,Belum Lunas
240227NPGESPBE,B. Reg Green Tea 1Kg,Belum Lunas
240227NPUGKQQV,"B. Reg Blueberry 1Kg , Creamer Reguler 1Kg",Belum Lunas
240227NQKAJW4R,Creamer Premium 1Kg,Belum Lunas
240227NRE8Q3Y4,Creamer Reguler 1Kg,Belum Lunas
240228PANM0DSJ,Creamer Premium 1Kg,Belum Lunas
240228PGSCKYFK,Creamer Reguler 1Kg,Belum Lunas
240228PN3VB34C,"LEMON TEA 1kg , LYCHEE TEA 1kg",Belum Lunas
240228PTFXVARP,Creamer Reguler 1Kg,Belum Lunas
240228PTJNPAT5,Creamer Reguler 1Kg,Belum Lunas
240228PU3KAWM6,"B. Reg Durian 1Kg , LEMON TEA 1kg",Belum Lunas
240228PVGYU9FG,THAI TEA DAUN  #1THAILAND,Lunas
240228PWCUGPXY,"Bubuk Cappucino Mix Sugar 1Kg , Bubuk Choco Royal Mix Sugar 1Kg , Gula Aren Cair 500Ml , Plastik Take Away isi 320 Pcs , Javaland Syrup Caramel 100ml , Javaland Syrup Hazelnut 100ml , LEMON TEA 1kg , LYCHEE TEA 1kg",Belum Lunas
240228PWCWBPHA,Creamer Reguler 1Kg,Belum Lunas
240228PX8607K0,Creamer Premium 1Kg,Belum Lunas
240228PXUD3YDW,"Creamer Reguler 1Kg , Susu Kental Manis Carnation 370gr - Putih",Belum Lunas
240228PY3MA69M,Creamer Super Premium 1Kg,Belum Lunas
240228Q0KX7KX2,Creamer Super Premium 1Kg,Belum Lunas
240228Q0N86QYX,Creamer Premium 1Kg,Belum Lunas
240228Q1ACCKFD,Creamer Reguler 1Kg,Belum Lunas
240228Q1EF1CN3,Creamer Premium 1Kg,Belum Lunas
240228Q1G96MJX,Creamer Premium 1Kg,Belum Lunas
240228Q1YDPDF6,MACCHIATO POWDER FOAM1kg,Lunas
240228Q3G3YD7U,Creamer Reguler 1Kg,Belum Lunas
240228Q3JK4587,B. Reg Choco Royal 1Kg,Belum Lunas
240228Q3VBVXM8,Creamer Reguler 1Kg,Belum Lunas
240228Q3YACANJ,Creamer Reguler 1Kg,Belum Lunas
240228Q4E766TT,Creamer Premium 1Kg,Belum Lunas
240228Q7NMCSAJ,Creamer Premium 1Kg,Belum Lunas
240228Q89P9GSS,"B. Reg Avocado 1Kg , B. Super Swiss Choco 1Kg",Belum Lunas
240228Q97EX1C3,Ice Cream Powder Vanilla 1Kg,Belum Lunas
240228Q9EE34R9,"B. Reg Choco Sport / Milo 1Kg , B. Reg Taro 1Kg",Belum Lunas
240228QBCPCCND,B. Reg Taro 1Kg,Belum Lunas
240228QBDXCH66,Creamer Reguler 1Kg,Belum Lunas
240228QBEFJB0G,Creamer Premium 1Kg,Belum Lunas
240228QC1PQXCE,B. Reg Choco Royal 1Kg,Lunas
240228QDWMGE9G,Creamer Premium 1Kg,Belum Lunas
240228QEKQ891Q,Creamer Reguler 1Kg,Belum Lunas
240228QRD32FAY,"B. Reg Avocado 1Kg , B. Reg Bubble Gum 1Kg , B. Reg Cappucino 1Kg , B. Reg Choco Royal 1Kg , B. Reg Red Velvet 1Kg , B. Reg Taro 1Kg , B. Reg Thai Tea 1Kg , B. Reg Milk Tea 1Kg , Panda Boba 1Kg",Lunas
240228QUDH7AQN,Creamer Reguler 1Kg,Belum Lunas
INV/20240228/MPL/3763867358,"Javaland Syrup Lychee / Leci , Javaland Syrup Mango",Belum Lunas
240227MY7DXJNY,"Creamer Super Premium 1Kg , Bubble Wrap",Belum Lunas
240227NDAJMHQ3,"B. Reg Choco Royal 1Kg , B. Reg Red Velvet 1Kg , B. Reg Taro 1Kg",Belum Lunas
240228PYGQ19Q2,B. Reg Choco Hazelnut 1Kg,Belum Lunas
240228Q4AD31CW,Creamer Super Premium 1Kg,Belum Lunas
INV/20240227/MPL/3762420108,B. Prem Cappuccino  1Kg,Belum Lunas
240226K7AA143C,WHIPPED CREAM 1kg,Belum Lunas
240227MH4U97JE,B. Reg Choco Sport / Milo 1Kg,Belum Lunas
240227MX1TDJYW,Panda Boba 1Kg,Belum Lunas
240227MX401C1V,Creamer Super Premium 1Kg,Belum Lunas
240227MYKCC4SE,Creamer Premium 1Kg,Belum Lunas
240227N4V16SG4,B. Reg Choco Royal 1Kg,Belum Lunas
240227N5U0Y2M1,"Bubuk Cappucino Mix Sugar 1Kg , Bubuk Taro Mix Sugar 1Kg , B. Reg Mango 1Kg , B. Reg Mochacino 1Kg , LEMON TEA 1kg",Belum Lunas
240227N6JVV0GR,"Bubble Wrap , MACCHIATO POWDER FOAM1kg",Belum Lunas
240227NADBJR4V,LEMON TEA 1kg,Belum Lunas
240227NAMK9MDV,Creamer Premium 1Kg,Belum Lunas
240227ND175G4H,SILKY PUDDING LYCHEE 450GR,Belum Lunas
240227NEV5HPYR,B. Reg Avocado 1Kg,Belum Lunas
240227NFQ6GFTT,B. Reg Blueberry 1Kg,Belum Lunas
240227NG4JQWNH,B. Reg Choco Sport / Milo 1Kg,Belum Lunas
240227NGBA9D7M,B. Reg Choco Sport / Milo 1Kg,Belum Lunas
240227NGU9FAUN,Ice Cream Powder Vanilla 1Kg,Belum Lunas
